YEAR,MONTH_NO,QUARTER,YEAR_MONTH,MONTH_NM,WEEK,WEEK_ENDING_MON_SUN_DT,Min_OrderDateTime,KPI,MenuCategoryText,MenuGroupText,MenuItemText,ACTUAL
2024,5,Q2,2024 MAY,MAY,W2,2024-05-08,2024-05-08,Total Guest Count,Liquor,BEER/LIQUOR,TAJ MAHAL,96.12474955677462
2024,5,Q2,2024 MAY,MAY,W4,2024-05-22,2024-05-22,Average Check,Liquor,BEER/LIQUOR,NEW CASTLE,28.61231439022523
2024,11,Q4,2024 NOV,NOV,W1,2024-11-01,2024-11-01,Total Guest Count,Liquor,BEER/LIQUOR,HEINEKEN,49.986979032951155
2022,6,Q2,2022 JUN,JUN,W1,2022-06-01,2022-06-01,Total Guest Count,Food,APPETIZER,Chow Mein,25.334649679980018
2022,11,Q4,2022 NOV,NOV,W2,2022-11-08,2022-11-08,Revenue,Beverage,BEVERAGE,COKE,11.14270878964569
2024,4,Q2,2024 APR,APR,W2,2024-04-08,2024-04-08,Total Guest Count,Liquor,BEER/LIQUOR,KING FISHER,52.13207824564474
2023,6,Q2,2023 JUN,JUN,W2,2023-06-08,2023-06-08,Average Check,Food,RICE,C-Veg Momo,82.47629824003954
2023,5,Q2,2023 MAY,MAY,W2,2023-05-08,2023-05-08,Total Guest Count,Food,CHICKEN,Chow Mein,42.5233119335655
2024,3,Q1,2024 MAR,MAR,W5,2024-03-29,2024-03-29,Average Check,Food,LAMB,CHI CHOELA,98.1258739352249
2024,11,Q4,2024 NOV,NOV,W2,2024-11-08,2024-11-08,Average Check,Liquor,BEER/LIQUOR,NEW CASTLE,94.52532721419247
2023,12,Q4,2023 DEC,DEC,W5,2023-12-29,2023-12-29,Revenue,Liquor,BEER/LIQUOR,HEINEKEN,4.986205081669651
2023,4,Q2,2023 APR,APR,W4,2023-04-22,2023-04-22,Revenue,Food,BREAD,Potato Chilli,25.786425850892144
2022,8,Q3,2022 AUG,AUG,W2,2022-08-08,2022-08-08,Average Check,Beverage,BEVERAGE,LASSI,1.9443813784267694
2023,10,Q4,2023 OCT,OCT,W3,2023-10-15,2023-10-15,Total Guest Count,Food,CHICKEN,VEGETABLE MOMO,91.77401514751806
2023,12,Q4,2023 DEC,DEC,W2,2023-12-08,2023-12-08,Revenue,Beverage,BEVERAGE,LASSI,37.25231103872611
2023,4,Q2,2023 APR,APR,W4,2023-04-22,2023-04-22,Revenue,Liquor,BEER/LIQUOR,MAHARAJA,25.636024639987607
2024,11,Q4,2024 NOV,NOV,W1,2024-11-01,2024-11-01,Total Guest Count,Food,BREAD,Chow Mein,10.661615714634696
2024,3,Q1,2024 MAR,MAR,W1,2024-03-01,2024-03-01,Total Guest Count,Food,BREAD,CHICKEN PAKORA,89.43304522985983
2024,4,Q2,2024 APR,APR,W2,2024-04-08,2024-04-08,Total Guest Count,Food,BREAD,C-Veg Momo,23.910653270860667
2022,1,Q1,2022 JAN,JAN,W2,2022-01-08,2022-01-08,Revenue,Liquor,BEER/LIQUOR,MILLER LITE,97.56747096221255
2024,7,Q3,2024 JUL,JUL,W5,2024-07-29,2024-07-29,Revenue,Beverage,BEVERAGE,COKE,58.206086503872356
2024,6,Q2,2024 JUN,JUN,W4,2024-06-22,2024-06-22,Revenue,Beverage,BEVERAGE,HIMALAYAN,20.06830968143568
2023,1,Q1,2023 JAN,JAN,W5,2023-01-29,2023-01-29,Revenue,Liquor,BEER/LIQUOR,MARGARITA,19.29872512823911
2023,8,Q3,2023 AUG,AUG,W4,2023-08-22,2023-08-22,Average Check,Liquor,BEER/LIQUOR,CHIVAS REGAL,29.113196180611848
2022,3,Q1,2022 MAR,MAR,W2,2022-03-08,2022-03-08,Revenue,Beverage,BEVERAGE,SPRITE,65.48687949859051
2024,5,Q2,2024 MAY,MAY,W4,2024-05-22,2024-05-22,Total Guest Count,Liquor,BEER/LIQUOR,KING FISHER,33.6677480791156
2024,6,Q2,2024 JUN,JUN,W5,2024-06-29,2024-06-29,Revenue,Food,RICE,BHEL PURI,45.311982052584064
2023,12,Q4,2023 DEC,DEC,W1,2023-12-01,2023-12-01,Revenue,Beverage,BEVERAGE,MILK,44.28420881860059
2024,4,Q2,2024 APR,APR,W1,2024-04-01,2024-04-01,Total Guest Count,Food,BREAD,CHILI PAKORA,32.18499162675196
2023,3,Q1,2023 MAR,MAR,W4,2023-03-22,2023-03-22,Total Guest Count,Beverage,BEVERAGE,DIET,46.461587836274205
2023,10,Q4,2023 OCT,OCT,W4,2023-10-22,2023-10-22,Average Check,Liquor,BEER/LIQUOR,MAHARAJA,14.517348284118748
2023,5,Q2,2023 MAY,MAY,W3,2023-05-15,2023-05-15,Average Check,Beverage,BEVERAGE,PINEAPPLE,56.667241296404775
2022,5,Q2,2022 MAY,MAY,W1,2022-05-01,2022-05-01,Average Check,Liquor,BEER/LIQUOR,MILLER LITE,81.55920833047237
2022,11,Q4,2022 NOV,NOV,W5,2022-11-29,2022-11-29,Total Guest Count,Food,BREAD,Himalayan Spicy Wings,34.21275424125415
2022,7,Q3,2022 JUL,JUL,W3,2022-07-15,2022-07-15,Average Check,Beverage,BEVERAGE,TEA,67.13486150531622
2022,11,Q4,2022 NOV,NOV,W3,2022-11-15,2022-11-15,Average Check,Beverage,BEVERAGE,MILK,93.60626203431296
2022,2,Q1,2022 FEB,FEB,W3,2022-02-15,2022-02-15,Average Check,Food,LAMB,TANDOORI ASSORTED APPZ,32.49767081663535
2023,1,Q1,2023 JAN,JAN,W1,2023-01-01,2023-01-01,Total Guest Count,Food,CHICKEN,Potato Chilli,97.03865034933268
2022,3,Q1,2022 MAR,MAR,W4,2022-03-22,2022-03-22,Average Check,Beverage,BEVERAGE,MANGO,87.26295354439158
2022,5,Q2,2022 MAY,MAY,W5,2022-05-29,2022-05-29,Average Check,Liquor,BEER/LIQUOR,HENNESSY COGNAC,41.461406654947794
2022,9,Q3,2022 SEP,SEP,W2,2022-09-08,2022-09-08,Revenue,Liquor,BEER/LIQUOR,HEINEKEN,5.726077861961085
2023,3,Q1,2023 MAR,MAR,W3,2023-03-15,2023-03-15,Total Guest Count,Liquor,BEER/LIQUOR,TAJ MAHAL,27.77805927146462
2024,11,Q4,2024 NOV,NOV,W3,2024-11-15,2024-11-15,Average Check,Liquor,BEER/LIQUOR,NEW CASTLE,8.516881606608546
2024,10,Q4,2024 OCT,OCT,W3,2024-10-15,2024-10-15,Average Check,Beverage,BEVERAGE,LASSI,90.24628784864245
2024,5,Q2,2024 MAY,MAY,W3,2024-05-15,2024-05-15,Revenue,Beverage,BEVERAGE,LASSI,48.75889805240153
2022,10,Q4,2022 OCT,OCT,W5,2022-10-29,2022-10-29,Average Check,Liquor,BEER/LIQUOR,NEW CASTLE,3.3325576320006998
2024,12,Q4,2024 DEC,DEC,W3,2024-12-15,2024-12-15,Total Guest Count,Food,BREAD,CHI CHOELA,37.55866664454818
2024,1,Q1,2024 JAN,JAN,W4,2024-01-22,2024-01-22,Total Guest Count,Liquor,BEER/LIQUOR,CHIVAS REGAL,16.723759563339833
2024,10,Q4,2024 OCT,OCT,W2,2024-10-08,2024-10-08,Average Check,Beverage,BEVERAGE,DIET,81.62726473643319
2023,6,Q2,2023 JUN,JUN,W1,2023-06-01,2023-06-01,Average Check,Beverage,BEVERAGE,HIMALAYAN,32.86505583338853
2022,6,Q2,2022 JUN,JUN,W1,2022-06-01,2022-06-01,Revenue,Food,CHICKEN,CHI CHOELA,21.711643570866745
2023,6,Q2,2023 JUN,JUN,W2,2023-06-08,2023-06-08,Average Check,Food,BREAD,BHEL PURI,22.767418945086813
2024,8,Q3,2024 AUG,AUG,W5,2024-08-29,2024-08-29,Average Check,Liquor,BEER/LIQUOR,HEINEKEN,82.35478336499474
2022,7,Q3,2022 JUL,JUL,W4,2022-07-22,2022-07-22,Revenue,Food,RICE,C-Veg Momo,64.63076718972597
2023,5,Q2,2023 MAY,MAY,W4,2023-05-22,2023-05-22,Total Guest Count,Beverage,BEVERAGE,MASALA,56.363541609842095
2024,5,Q2,2024 MAY,MAY,W5,2024-05-29,2024-05-29,Revenue,Food,LAMB,VEGETABLE SAMOSA,69.49808888703332
2024,2,Q1,2024 FEB,FEB,W4,2024-02-22,2024-02-22,Average Check,Food,CHICKEN,KEEMA SAMOSA,2.9015180716914046
2024,10,Q4,2024 OCT,OCT,W5,2024-10-29,2024-10-29,Average Check,Liquor,BEER/LIQUOR,CORKAGE,65.94190299301825
2024,10,Q4,2024 OCT,OCT,W4,2024-10-22,2024-10-22,Total Guest Count,Liquor,BEER/LIQUOR,CHIVAS REGAL,4.110137502571369
2023,1,Q1,2023 JAN,JAN,W2,2023-01-08,2023-01-08,Total Guest Count,Liquor,BEER/LIQUOR,HEINEKEN,79.9614267961536
2022,6,Q2,2022 JUN,JUN,W5,2022-06-29,2022-06-29,Average Check,Beverage,BEVERAGE,JUICE,15.689050381257243
2024,12,Q4,2024 DEC,DEC,W4,2024-12-22,2024-12-22,Total Guest Count,Liquor,BEER/LIQUOR,KING FISHER,5.967913582414549
2024,9,Q3,2024 SEP,SEP,W5,2024-09-29,2024-09-29,Revenue,Beverage,BEVERAGE,LASSI,68.0130452604445
2022,5,Q2,2022 MAY,MAY,W4,2022-05-22,2022-05-22,Revenue,Food,LAMB,KEEMA SAMOSA,87.28327146433249
