YEAR,MONTH_NO,QUARTER,YEAR_MONTH,MONTH_NM,WEEK,WEEK_ENDING_MON_SUN_DT,Min_OrderDateTime,KPI,MenuCategoryText,MenuGroupText,MenuItemText,ACTUAL
2024,9,Q3,2024 SEP,SEP,W5,2024-09-29,2024-09-29,Total Guest Count,Liquor,BEER/LIQUOR,BOMBAY SAPPHIRE,90.25996652660405
2023,5,Q2,2023 MAY,MAY,W3,2023-05-15,2023-05-15,Total Guest Count,Food,APPETIZER,PAPADUM,62.1878290247019
2024,8,Q3,2024 AUG,AUG,W4,2024-08-22,2024-08-22,Total Guest Count,Food,CHICKEN,VEGETABLE MOMO,59.58353486459652
2022,7,Q3,2022 JUL,JUL,W5,2022-07-29,2022-07-29,Revenue,Liquor,BEER/LIQUOR,MILLER LITE,53.246035035760954
2024,1,Q1,2024 JAN,JAN,W3,2024-01-15,2024-01-15,Total Guest Count,Beverage,BEVERAGE,COKE,65.83609043762459
2022,3,Q1,2022 MAR,MAR,W3,2022-03-15,2022-03-15,Revenue,Beverage,BEVERAGE,HIMALAYAN,99.86242625479711
2022,5,Q2,2022 MAY,MAY,W1,2022-05-01,2022-05-01,Average Check,Beverage,BEVERAGE,MANGO,73.72979075201691
2023,9,Q3,2023 SEP,SEP,W1,2023-09-01,2023-09-01,Revenue,Beverage,BEVERAGE,MASALA,63.8732349850354
2024,11,Q4,2024 NOV,NOV,W1,2024-11-01,2024-11-01,Revenue,Beverage,BEVERAGE,MANGO,23.327564827928153
2023,12,Q4,2023 DEC,DEC,W5,2023-12-29,2023-12-29,Average Check,Liquor,BEER/LIQUOR,TAJ MAHAL,60.262870199192825
2024,3,Q1,2024 MAR,MAR,W3,2024-03-15,2024-03-15,Total Guest Count,Liquor,BEER/LIQUOR,CHIVAS REGAL,14.88019683865462
2024,8,Q3,2024 AUG,AUG,W2,2024-08-08,2024-08-08,Average Check,Beverage,BEVERAGE,MANGO,25.497280214535728
2024,1,Q1,2024 JAN,JAN,W2,2024-01-08,2024-01-08,Total Guest Count,Beverage,BEVERAGE,COKE,93.52298219144461
2024,12,Q4,2024 DEC,DEC,W2,2024-12-08,2024-12-08,Revenue,Beverage,BEVERAGE,MANGO,12.55991741841739
2024,3,Q1,2024 MAR,MAR,W3,2024-03-15,2024-03-15,Total Guest Count,Beverage,BEVERAGE,TEA,90.79511880496773
2023,2,Q1,2023 FEB,FEB,W3,2023-02-15,2023-02-15,Revenue,Liquor,BEER/LIQUOR,MILLER LITE,56.81998236648792
2023,12,Q4,2023 DEC,DEC,W4,2023-12-22,2023-12-22,Total Guest Count,Food,APPETIZER,CHICKEN PAKORA,39.849440718221324
2023,2,Q1,2023 FEB,FEB,W3,2023-02-15,2023-02-15,Total Guest Count,Liquor,BEER/LIQUOR,MANGO MARTINI,78.56145766416591
2024,1,Q1,2024 JAN,JAN,W5,2024-01-29,2024-01-29,Revenue,Liquor,BEER/LIQUOR,MAHARAJA,15.205414666499413
2024,3,Q1,2024 MAR,MAR,W1,2024-03-01,2024-03-01,Total Guest Count,Liquor,BEER/LIQUOR,CHIVAS REGAL,93.33554334626432
2022,10,Q4,2022 OCT,OCT,W4,2022-10-22,2022-10-22,Total Guest Count,Beverage,BEVERAGE,TEA,39.649031732009036
2023,6,Q2,2023 JUN,JUN,W1,2023-06-01,2023-06-01,Average Check,Beverage,BEVERAGE,MANGO,88.98998019122878
2022,12,Q4,2022 DEC,DEC,W2,2022-12-08,2022-12-08,Average Check,Beverage,BEVERAGE,SPRITE,82.08897437609134
2024,4,Q2,2024 APR,APR,W3,2024-04-15,2024-04-15,Total Guest Count,Liquor,BEER/LIQUOR,MILLER LITE,81.1008481863687
2022,3,Q1,2022 MAR,MAR,W4,2022-03-22,2022-03-22,Average Check,Food,APPETIZER,Himalayan Spicy Wings,7.261254996060761
2023,5,Q2,2023 MAY,MAY,W4,2023-05-22,2023-05-22,Revenue,Liquor,BEER/LIQUOR,HEINEKEN,71.14118599170479
